rowid,utility_id_ferc1,plant_name_ferc1,plant_type,installation_year,capacity_mw,peak_demand_mw,plant_hours_connected_while_generating,net_capacity_favorable_conditions_mw,net_capacity_adverse_conditions_mw,net_generation_mwh
3076,161,borel,Run-of-River,1932.0,12.0,11.0,7329.0,11.0,11.0,61011.318
3077,161,big creek no. 2a,Storage,1928.0,110.0,98.0,8441.0,99.0,99.0,414186.944
3078,161,big creek no. 3,Storage,1980.0,181.9,180.0,8760.0,182.0,182.0,948552.606
3079,161,big creek no. 4,Storage,1951.0,100.0,100.0,8483.0,100.0,100.0,564644.392
3080,161,kern river no. 1,Run-of-River,1907.0,26.3,26.0,8519.0,25.0,25.0,203242.653
3081,161,kern river no. 3,Run-of-River,1921.0,40.2,36.0,7622.0,37.0,37.0,174821.623
3082,161,mammoth pool,Storage,1960.0,190.0,179.0,6676.0,187.0,187.0,753863.502
3083,196,petenwell,Storage,1950.0,20.0,21.0,8401.0,21.0,21.0,108459.2
3084,196,castle rock,Storage,1951.0,15.0,18.0,8760.0,18.0,18.0,104155.58
3085,98,thomson,Storage,1949.0,72.6,72.0,8760.0,71.0,71.0,212585.6
3086,98,blanchard,Run of River,1988.0,18.0,16.0,8760.0,11.0,11.0,94490.6
3087,98,fond du lac,Storage,1924.0,12.0,11.0,8760.0,11.0,11.0,26540.8
3088,171,santeelah (tapoco),Storage,1928.0,40.4,42.0,4551.0,42.0,22.0,160797.0
3089,171,cheoah (tapoco),Run-of-River,1949.0,117.77,114.0,5416.0,114.0,59.0,319715.0
3090,171,calderwood (tapoco),Run-of-River,1938.0,140.4,156.0,4374.0,156.0,105.0,529877.0
3091,171,chilhowee (tapoco),Run-of-River,1957.0,52.2,51.0,4079.0,51.0,30.0,155119.0
3092,171,high rock (yadkin),Run-of-River,1927.0,39.6,33.0,4239.0,40.0,37.0,101908.0
3093,171,tuckertown (yadkin),Run-of-River,1962.0,38.1,36.0,2840.0,42.0,38.0,47647.0
3094,171,narrows (yadkin),Run-of-River,1924.0,108.8,119.0,7028.0,119.0,84.0,323076.0
3095,171,falls (yadkin),Run-of-River,1922.0,30.0,29.0,4501.0,32.0,30.0,93961.0
3096,181,victoria,storage,1930.0,12.0,11.0,7911.0,13.0,6.0,41254.12
3097,45,bridgewater,Storage,2011.0,27.73,32.0,2277.0,32.0,28.0,33831.0
3098,45,rhodhiss,Storage,1925.0,25.5,33.0,4266.0,31.0,30.0,47447.0
3099,45,oxford,Storage,1928.0,36.0,43.0,4552.0,44.0,40.0,78406.0
3100,45,lookout shoals,Run-of-RIver,1915.0,25.77,29.0,8740.0,28.0,28.0,68633.0
3101,45,mountain island,Storage,1923.0,60.0,58.0,4631.0,62.0,58.0,72461.0
3102,45,cowans ford,Storage,1967.0,350.0,266.0,970.0,390.0,325.0,100006.0
3103,45,wylie,Storage,1925.0,60.0,68.0,8723.0,78.0,72.0,93492.0
3104,45,fishing creek,Storage,1916.0,36.72,47.0,7190.0,56.0,49.0,99032.0
3105,45,great falls,Run-of-River,1907.0,24.0,10.0,148.0,30.0,24.0,2080.0
3106,45,dearborn,Run-of-River,1923.0,45.5,48.0,6868.0,47.0,42.0,121549.0
3107,45,cedar creek,Run-of-River,1926.0,45.0,48.0,6200.0,45.0,43.0,102539.0
